alarm_type,n,n_true_alarms,F1,Sensitivity,Specificity,AUC
Asystole,93,14,0.43902439024390244,0.6428571428571429,0.7721518987341772,0.810126582278481
Bradycardia,73,39,0.8051948051948052,0.7948717948717948,0.7941176470588235,0.8461538461538461
Tachycardia,111,106,0.9154228855721394,0.8679245283018868,0.4,0.7169811320754716
Ventricular_Flutter_Fib,45,5,0.5,0.8,0.825,0.8400000000000001
Ventricular_Tachycardia,270,59,0.6461538461538462,0.711864406779661,0.8625592417061612,0.8178166921037834
